Target,Postal Code,Latitude Dgr,Longitude Dgr
2028,35810,34.7504,-86.6337
2029,35758,34.7512,-86.7736
2030,28540,34.7515,-77.4646
2031,35758,34.7566,-86.7302
2032,29681,34.7577,-82.2674
2033,72202,34.759,-92.304
2034,28352,34.7618,-79.4844
2035,30720,34.7624,-84.9687
2036,35810,34.7653,-86.5925
2037,30721,34.7677,-84.93
2038,28570,34.7758,-76.8728
2039,28546,34.7799,-77.3931
2040,72117,34.7865,-92.2147
2041,30720,34.7867,-84.999
2042,35611,34.7886,-86.9588
2043,29611,34.7888,-82.4779
2044,74820,34.7892,-96.6562
2045,35757,34.7933,-86.7508
2046,28546,34.8011,-77.4154
2047,38852,34.8043,-88.2045
2048,72086,34.8053,-91.8941
2049,28377,34.808,-79.1697
2050,28384,34.8086,-78.9859
2051,72223,34.8095,-92.486
2052,87031,34.8173,-106.7632
2053,35630,34.818,-87.6565
2054,35811,34.8201,-86.4925
2055,38632,34.8224,-89.9687
2056,29607,34.8227,-82.2812
2057,29640,34.8285,-82.5495
2058,29642,34.8289,-82.5493
2059,35810,34.8304,-86.6401
2060,72113,34.832,-92.3948
2061,35630,34.8343,-87.6258
2062,73052,34.835,-97.5975
2063,72120,34.8353,-92.2331
2064,38833,34.8369,-88.32
2065,72120,34.8389,-92.2368
2066,79045,34.8398,-102.4077
2067,35633,34.843,-87.6918
2068,72113,34.8516,-92.4055
2069,29611,34.8569,-82.4541
2070,30525,34.8598,-83.4042
2071,29615,34.8617,-82.2638
2072,30512,34.864,-83.9981
2073,29671,34.8692,-82.693
2074,30513,34.877,-84.3258
2075,92311,34.8826,-116.9917
2076,92311,34.8826,-116.9917
2077,29615,34.8828,-82.3553
2078,72076,34.8852,-92.1127
2079,29601,34.889,-82.3972
2080,29372,34.8978,-81.7605
2081,72958,34.8997,-94.1053
2082,93711,34.9058,-91.1983
2083,28574,34.9081,-77.568
2084,29687,34.9085,-82.3324
2085,38834,34.9101,-88.502
2086,29617,34.9118,-82.4311
2087,28379,34.9131,-79.7389
2088,28532,34.9141,-76.9365
2089,93454,34.9189,-120.4191
2090,74501,34.9192,-95.7405
2091,93455,34.9199,-120.4191
2092,29302,34.9211,-81.8845
2093,29301,34.9333,-81.9849
2094,29707,34.9356,-80.8328
2095,30742,34.9365,-85.2162
2096,29650,34.9438,-82.2478
2097,29651,34.9441,-82.2063
2098,29730,34.9442,-80.963
2099,38683,34.9456,-88.9028
2100,35750,34.9459,-86.5748
2101,93458,34.9482,-120.4527
2102,29730,34.9531,-81.018
2103,72023,34.9534,-92.007
2104,30742,34.9548,-85.2447
2105,28173,34.9584,-80.7562
2106,38671,34.9597,-89.9961
2107,29690,34.9604,-82.431
2108,38637,34.9611,-90.0327
2109,38637,34.9647,-90.0632
2110,38654,34.965,-89.8496
2111,29307,34.9729,-81.8774
2112,72023,34.9765,-92.0407
2113,29732,34.9793,-81.0899
2114,28348,34.9801,-78.9651
2115,28170,34.9811,-80.1043
2116,29745,34.9835,-81.2132
2117,28348,34.9839,-78.9326
2118,73080,34.9876,-97.3702
2119,28328,34.9884,-78.352
2120,37412,34.9959,-85.2459
2121,79015,34.998,-101.9226
2122,28306,35.0029,-78.9036
2123,38116,35.005,-90.0277
2124,37421,35.0054,-85.1492
2125,86426,35.0057,-114.5947
2126,29715,35.006,-80.9305
2127,37411,35.0083,-85.2051
2128,28376,35.0097,-79.1752
2129,28391,35.0103,-78.6881
2130,29707,35.0108,-80.8494
2131,28110,35.0139,-80.5641
2132,37419,35.0157,-85.3765
2133,73651,35.0171,-99.1042
2134,38125,35.0222,-89.8304
2135,28304,35.0247,-79.0534
2136,87121,35.0261,-106.7109
2137,72335,35.028,-90.7936
2138,37421,35.0301,-85.1531
2139,73018,35.0311,-97.9311
2140,28571,35.0383,-76.6905
2141,28304,35.0404,-78.9988
2142,37347,35.0405,-85.6815
2143,37411,35.0426,-85.2201
2144,86047,35.0433,-110.7016
2145,29708,35.0463,-80.9937
2146,38125,35.0477,-89.8113
2147,38017,35.0483,-89.681
2148,29316,35.0526,-81.9858
2149,28314,35.0546,-79.064
2150,87121,35.0547,-106.7394
2151,73005,35.06,-98.2624
2152,72012,35.0657,-91.9054
2153,72940,35.0661,-94.2532
2154,38115,35.07,-89.8628
2155,87015,35.0707,-106.1882
2156,72034,35.0729,-92.4952
2157,87108,35.0762,-106.5878
2158,28079,35.0788,-80.6498
2159,38115,35.0794,-89.8911
2160,87123,35.0795,-106.5296
2161,37363,35.081,-85.063
2162,29708,35.081,-80.9332
2163,28303,35.0819,-78.9572
2164,86442,35.0825,-114.5942
2165,29341,35.0873,-81.6658
2166,74848,35.088,-96.3814
2167,28226,35.0905,-80.8593
2168,38469,35.0908,-87.4265
2169,37405,35.0944,-85.3319
2170,74953,35.0946,-94.6282
2171,72034,35.0946,-92.463
2172,28226,35.0967,-80.7821
2173,28311,35.098,-78.9181
2174,28562,35.1009,-77.0868
2175,87120,35.1031,-106.728
2176,87110,35.1047,-106.5922
2177,87112,35.1068,-106.5486
2178,28906,35.1086,-84.0056
2179,72032,35.1086,-92.437
2180,87112,35.1095,-106.5178
2181,87120,35.1102,-106.7007
2182,87110,35.1121,-106.6082
2183,37415,35.1154,-85.2627
2184,29710,35.1217,-81.0851
2185,28311,35.1237,-78.883
2186,87020,35.1247,-107.8257
2187,28563,35.1254,-77.0888
2188,37323,35.1254,-84.8688
2189,38101,35.1288,-89.7632
2190,93420,35.129,-120.5977
2191,87111,35.1298,-106.5169
2192,93561,35.1298,-118.4662
2193,79109,35.1308,-101.9191
2194,74884,35.1326,-96.4952
2195,37334,35.1366,-86.5646
2196,28270,35.1389,-80.732
2197,38375,35.1396,-88.5743
2198,72927,35.1398,-93.9027
2199,38018,35.1408,-89.7983
2200,72927,35.1434,-93.9018
2201,28529,35.1447,-76.8358
2202,87111,35.1447,-106.5499
2203,28273,35.1466,-80.934
2204,79110,35.1482,-101.8669
2205,37343,35.1529,-85.2452
2206,28315,35.1597,-79.4245
2207,79119,35.1598,-101.9236
2208,28227,35.1619,-80.7363
2209,72301,35.1655,-90.1999
2210,28734,35.1663,-83.368
2211,28734,35.1664,-83.365
2212,72110,35.1689,-92.7267
2213,79110,35.1698,-101.8629
2214,73071,35.174,-97.4086
2215,28390,35.1743,-78.9658
2216,38133,35.1762,-89.8393
2217,86001,35.1766,-111.6646
2218,79118,35.1796,-101.8154
2219,87114,35.1805,-106.6899
2220,37343,35.1872,-85.1896
2221,79103,35.1898,-101.7934
2222,73071,35.1933,-97.4221
2223,72364,35.198,-90.1825
2224,28205,35.1994,-80.7765
2225,86004,35.1996,-111.6143
2226,79401,35.1997,-80.7729
2227,28227,35.2008,-80.7274
2228,38478,35.2015,-87.0604
2229,37312,35.2021,-84.8487
2230,87114,35.2044,-106.6567
2231,38133,35.2071,-89.7827
2232,28365,35.2105,-78.0717
2233,79106,35.2124,-101.9078
2234,28227,35.2135,-80.689
2235,37398,35.2177,-86.1041
2236,72834,35.2179,-93.1664
2237,72936,35.2207,-94.2967
2238,73069,35.2216,-97.4811
2239,86409,35.2226,-114.0327
2240,38372,35.224,-88.215
2241,72058,35.2258,-92.3896
2242,38060,35.2259,-89.5224
2243,28208,35.2264,-80.8946
2244,73071,35.2267,-97.4204
2245,38135,35.2279,-89.8472
2246,38128,35.2321,-89.894
2247,37379,35.2343,-85.1993
2248,28086,35.2383,-81.3628
2249,87124,35.2395,-106.6581
2250,87124,35.2429,-106.6997
2251,28054,35.2436,-81.1249
2252,28326,35.2441,-79.0262
2253,72143,35.2458,-91.7503
2254,72143,35.2472,-91.6873
2255,74868,35.2484,-96.6546
2256,73069,35.2484,-97.4933
2257,74462,35.2523,-95.1084
2258,72396,35.2533,-90.7774
2259,28012,35.2554,-81.0355
2260,28097,35.2566,-80.457
2261,28052,35.2608,-81.2265
2262,28056,35.2624,-81.1242
2263,28504,35.2649,-77.6462
2264,93241,35.2678,-118.9154
2265,38464,35.2734,-87.3149
2266,28152,35.2774,-81.53
2267,28768,35.2775,-82.7039
2268,38008,35.28,-89.0245
2269,72802,35.2805,-93.1053
2270,72801,35.2826,-93.1536
2271,72855,35.2934,-93.7162
2272,73065,35.2939,-97.6065
2273,28262,35.2955,-80.7583
2274,72933,35.2975,-94.052
2275,93307,35.2988,-119.0292
2276,72908,35.3034,-94.3947
2277,93313,35.3088,-119.0954
2278,28034,35.3169,-81.1967
2279,87004,35.3201,-106.5721
2280,28339,35.3206,-78.6483
2281,73160,35.3225,-97.493
2282,72901,35.3292,-94.4064
2283,28216,35.3295,-80.9458
2284,73170,35.3329,-97.5662
2285,73160,35.3331,-97.4781
2286,73170,35.3335,-97.5131
2287,28262,35.3341,-80.7125
2288,28043,35.335,-81.8995
2289,28001,35.3399,-80.1757
2290,28327,35.3416,-79.4048
2291,93257,35.3445,-119.0215
2292,27534,35.3449,-77.9169
2293,28792,35.3495,-82.4375
2294,72903,35.35,-94.3389
2295,93307,35.3534,-118.9476
2296,27209,35.3572,-79.7979
2297,38053,35.3576,-89.8977
2298,28779,35.3616,-83.2045
2299,72903,35.364,-94.3787
2300,73139,35.3644,-97.5313
2301,72039,35.3645,-92.4119
2302,73159,35.3656,-97.5768
2303,28027,35.3667,-80.666
